ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS
1,2017,Hyderabad,SRH,SRH,1,RCB,0,RCB,field,normal,SRH,35
2,2017,Pune,RPS,MI,1,RPS,0,RPS,field,normal,RPS,0
3,2017,Rajkot,GL,GL,1,KKR,0,KKR,field,normal,KKR,0
4,2017,Indore,Indore,RPS,1,KXIP,0,KXIP,field,normal,KXIP,0
5,2017,Bangalore,RCB,RCB,1,DD,0,RCB,bat,normal,RCB,15
6,2017,Hyderabad,SRH,GL,1,SRH,0,SRH,field,normal,SRH,0
7,2017,Mumbai,MI,KKR,1,MI,0,MI,field,normal,MI,0
8,2017,Indore,Indore,RCB,1,KXIP,0,RCB,bat,normal,KXIP,0
9,2017,Pune,RPS,DD,1,RPS,0,RPS,field,normal,DD,97
10,2017,Mumbai,MI,SRH,1,MI,0,MI,field,normal,MI,0
11,2017,Kolkata,KKR,KXIP,1,KKR,0,KKR,field,normal,KKR,0
12,2017,Bangalore,RCB,RCB,1,MI,0,MI,field,normal,MI,0
13,2017,Rajkot,GL,RPS,1,GL,0,GL,field,normal,GL,0
14,2017,Kolkata,KKR,KKR,1,SRH,0,SRH,field,normal,KKR,17
15,2017,Delhi,DD,DD,1,KXIP,0,DD,bat,normal,DD,51
16,2017,Mumbai,MI,GL,1,MI,0,MI,field,normal,MI,0
17,2017,Bangalore,RCB,RPS,1,RCB,0,RCB,field,normal,RPS,27
18,2017,Delhi,DD,DD,1,KKR,0,DD,bat,normal,KKR,0
19,2017,Hyderabad,SRH,SRH,1,KXIP,0,KXIP,field,normal,SRH,5
20,2017,Rajkot,GL,RCB,1,GL,0,GL,field,normal,RCB,21
21,2017,Hyderabad,SRH,SRH,1,DD,0,SRH,bat,normal,SRH,15
22,2017,Indore,Indore,KXIP,1,MI,0,MI,field,normal,MI,0
23,2017,Kolkata,KKR,KKR,1,GL,0,GL,field,normal,GL,0
24,2017,Mumbai,MI,MI,1,DD,0,DD,field,normal,MI,14
25,2017,Pune,RPS,SRH,1,RPS,0,RPS,field,normal,RPS,0
26,2017,Rajkot,GL,KXIP,1,GL,0,GL,field,normal,KXIP,26
27,2017,Kolkata,KKR,KKR,1,RCB,0,RCB,field,normal,KKR,82
28,2017,Mumbai,MI,RPS,1,MI,0,MI,field,normal,RPS,3
29,2017,Pune,RPS,RPS,1,KKR,0,KKR,field,normal,KKR,0
30,2017,Bangalore,RCB,RCB,1,GL,0,GL,field,normal,GL,0
31,2017,Kolkata,KKR,DD,1,KKR,0,KKR,field,normal,KKR,0
32,2017,Chandigarh,KXIP,SRH,1,KXIP,0,KXIP,field,normal,SRH,26
33,2017,Pune,RPS,RPS,1,RCB,0,RCB,field,normal,RPS,61
34,2017,Rajkot,GL,GL,1,MI,0,GL,bat,tie,MI,0
35,2017,Chandigarh,KXIP,DD,1,KXIP,0,KXIP,field,normal,KXIP,0
36,2017,Hyderabad,SRH,SRH,1,KKR,0,KKR,field,normal,SRH,48
37,2017,Mumbai,MI,RCB,1,MI,0,RCB,bat,normal,MI,0
38,2017,Pune,RPS,GL,1,RPS,0,RPS,field,normal,RPS,0
39,2017,Delhi,DD,SRH,1,DD,0,DD,field,normal,DD,0
40,2017,Kolkata,KKR,KKR,1,RPS,0,RPS,field,normal,RPS,0
41,2017,Delhi,DD,GL,1,DD,0,DD,field,normal,DD,0
42,2017,Bangalore,RCB,KXIP,1,RCB,0,RCB,field,normal,KXIP,19
43,2017,Hyderabad,SRH,RPS,1,SRH,0,SRH,field,normal,RPS,12
44,2017,Delhi,DD,MI,1,DD,0,DD,field,normal,MI,146
45,2017,Bangalore,RCB,RCB,1,KKR,0,KKR,field,normal,KKR,0
46,2017,Chandigarh,KXIP,KXIP,1,GL,0,GL,field,normal,GL,0
47,2017,Hyderabad,SRH,MI,1,SRH,0,MI,bat,normal,SRH,0
48,2017,Chandigarh,KXIP,KXIP,1,KKR,0,KKR,field,normal,KXIP,14
49,2017,Kanpur,Kanpur,GL,1,DD,0,DD,field,normal,DD,0
50,2017,Mumbai,MI,KXIP,1,MI,0,MI,field,normal,KXIP,7
51,2017,Delhi,DD,DD,1,RPS,0,DD,bat,normal,DD,7
52,2017,Kanpur,Kanpur,GL,1,SRH,0,SRH,field,normal,SRH,0
53,2017,Kolkata,KKR,MI,1,KKR,0,KKR,field,normal,MI,9
54,2017,Pune,RPS,KXIP,1,RPS,0,RPS,field,normal,RPS,0
55,2017,Delhi,DD,RCB,1,DD,0,RCB,bat,normal,RCB,10
56,2017,Mumbai,MI,RPS,1,MI,0,MI,field,normal,RPS,20
57,2017,Bangalore,RCB,SRH,1,KKR,0,KKR,field,normal,KKR,0
58,2017,Bangalore,RCB,KKR,1,MI,0,MI,field,normal,MI,0
59,2017,Hyderabad,SRH,MI,1,RPS,0,MI,bat,normal,MI,1
60,2008,Bangalore,RCB,KKR,1,RCB,0,RCB,field,normal,KKR,140
61,2008,Chandigarh,KXIP,CSK,1,KXIP,0,CSK,bat,normal,CSK,33
62,2008,Delhi,DD,RR,1,DD,0,RR,bat,normal,DD,0
63,2008,Mumbai,MI,MI,1,RCB,0,MI,bat,normal,RCB,0
64,2008,Kolkata,KKR,DC,1,KKR,0,DC,bat,normal,KKR,0
65,2008,Jaipur,RR,KXIP,1,RR,0,KXIP,bat,normal,RR,0
66,2008,Hyderabad,SRH,DC,1,DD,0,DC,bat,normal,DD,0
67,2008,Chennai,CSK,CSK,1,MI,0,MI,field,normal,CSK,6
